,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.2470995557475731,0.2921522255571347,7.270873710058133,4.965591529791415
"(5, 'split1')",0.0034919988773515,0.1252110515954843,8.448812880337584,5.3424668923992735
"(5, 'split2')",0.1379249256362613,0.2167636946124293,8.023254208309977,5.047839036973102
"(5, 'split3')",0.1741243416071507,0.2383289665427527,7.837857611676066,4.865316588952783
"(5, 'split4')",0.1844195934054517,0.2029717365762582,7.665594740569737,5.2772285972761335
"(5, 'split5')",0.0464703746621558,0.1118532365788557,8.396050101955687,5.509600883014113
"(5, 'split6')",0.249959103983731,0.2508346844547892,7.405804539646292,4.977885336010225
"(5, 'split7')",0.1902567525114763,0.2731548351548303,7.613920827732183,5.064596216646449
"(5, 'split8')",-0.0662694110827597,0.1227522062660402,8.735269998256424,6.204023644916809
"(5, 'split9')",0.2876458066790271,0.3204411287935353,7.206410915081199,4.554137352217817
"(5, 'mean')",0.1455123042027419,0.215446376613211,7.860384953362328,5.1808686078198125
"(10, 'split0')",0.3075074789902609,0.3460951119387077,7.040979930791432,4.6392125444707055
"(10, 'split1')",0.2567998351619872,0.2811480189657458,7.348494920240752,4.830225552617716
"(10, 'split2')",0.2338882654945761,0.2806675369726822,7.470421399868432,4.8609108462842405
"(10, 'split3')",0.1958899719999504,0.2836334967787521,7.792182637777737,4.864423509524285
"(10, 'split4')",0.3430500749352617,0.3689183479435485,6.895597261756576,4.592128745969911
"(10, 'split5')",0.219811416338833,0.284928496403769,7.593934479017752,4.890348815384254
"(10, 'split6')",0.3146439392310117,0.3159211809872586,7.088186930871378,4.906301204219836
"(10, 'split7')",0.266618103654878,0.3207448266108044,7.134802209186796,4.844675878543383
"(10, 'split8')",0.2085225561207495,0.2239155082911394,7.554816217692506,4.867118985148499
"(10, 'split9')",0.2475194947492578,0.3032885038127373,7.483161265508821,4.627184642177887
"(10, 'mean')",0.2594251136676767,0.3009261028705145,7.340257725271219,4.792253072434072
"(15, 'split0')",0.2709047557899797,0.3341626743329025,7.27744700080305,4.70663829018445
"(15, 'split1')",0.3511589350054098,0.3552159498757262,6.716662971441509,4.591486054098261
"(15, 'split2')",0.1998964875232203,0.2642897711009185,7.766867387741497,5.004968382136316
"(15, 'split3')",0.1664422558909487,0.3021946561392065,7.973981089731908,4.855166546979049
"(15, 'split4')",0.3509739239241003,0.4170061780267856,6.95610705654646,4.46213000129298
